ref;TITULO;FECHA;ESTILO;TIPO;LOCALIDAD;PROVINCIA;DEDICATORIA;DURACION_SEG;AUTOR;BANDA_ESTRENO_CANDIDATA;DETALLES_MARCHA;DATOS_INT;MOTIVO;DISCO_ORIGEN;INSERTADA
M413;Trinidad;;AM;;;;;;Muñoz Serna, Emilio (id 22, ya en BD);"(AM)Muchachos de Consolación (Utrera) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4971/;
M416;El perdón de dios;;AM;;;;;;Muñoz Serna, Emilio (id 22, ya en BD);"(AM)Muchachos de Consolación (Utrera) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4971/;
M418;De mi corazón al cielo;;AM;;;;;221;Muñoz Serna, Emilio (id 22, ya en BD);"(AM)Muchachos de Consolación (Utrera) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4971/;
M419;Trinidad;;CCTT;;;;;;Amores Olivares, Juan Gabriel (id 1052, ya en BD);(CT)Ntro.Padre Jesús Rescatado (Villanueva de los Infantes) (banda nueva, pendiente de alta - ref B23);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4983/;
M425;Lignum crucis;;CCTT;;;;;;González Cruz, Manuel Alejandro (id 28, ya en BD);(CT)Ntro.Padre Jesús Rescatado (Villanueva de los Infantes) (banda nueva, pendiente de alta - ref B23);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4983/;
M427;Al señor de la vera cruz;2018;CCTT;;Villanueva de los Infantes;;Ntro.Padre Jesús Rescatado de la Cofradia de la Stma.Vera Cruz;199;Martín-Consuegra Céspedes, Juan Carlos (id 604, ya en BD);(CT)Ntro.Padre Jesús Rescatado (Villanueva de los Infantes) (banda nueva, pendiente de alta - ref B23);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/4983/;
M430;Eh aquí tu hijo;;AM;;Torrecera;;Ntro.Padre Jesús Prendimiento;251;Carmona Suarez, Juan Manuel (id 256, ya en BD);(AM)Cristo de la Buena Muerte (Paterna de Ribera) (banda nueva, pendiente de alta - ref B24);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5003/;
M433;Misericordia señor;;AM;;;;;;Carmona Suarez, Juan Manuel (id 256, ya en BD);(AM)Cristo de la Buena Muerte (Paterna de Ribera) (banda nueva, pendiente de alta - ref B24);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5003/;
M434;La traición;;AM;;;;;;Moreno Rodríguez, Alejandro (id 87, ya en BD);(AM)Cristo de la Buena Muerte (Paterna de Ribera) (banda nueva, pendiente de alta - ref B24);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5003/;
M446;Señor de la salud;;AM;;;;;187;Diéguez García, Jesús (id 1015, ya en BD);(AM)San Lucas Evangelista (Coria del Rio) (banda nueva, pendiente de alta - ref B25);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5040/;
M450;Lacrimosa;;CCTT;;;;;;Águila Ordóñez, Jorge (id 39, ya en BD);"(CT)Stmo.Cristo del Mar (Vélez-Málaga) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5047/;
M451;El legado;;CCTT;;;;;257;González Cruz, Manuel Alejandro (id 28, ya en BD);"(CT)Stmo.Cristo del Mar (Vélez-Málaga) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5047/;
M458;Noli me tangere;;AM;;;;;236;Del Castillo Matías, José Domingo (id 55, ya en BD);"(AM)San Lorenzo Mártir (Málaga) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5073/;
M468;A mi nazareno;;CCTT;;;;;174;Anaya Hidalgo, José Javier (id 651, ya en BD);(CT)Ntro.Padre Jesús Nazareno (Alhaurín de la Torre) (banda nueva, pendiente de alta - ref B26);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5086/;
M469;A ti madre;;CCTT;;;;;;Anaya Hidalgo, José Javier (id 651, ya en BD);(CT)Ntro.Padre Jesús Nazareno (Alhaurín de la Torre) (banda nueva, pendiente de alta - ref B26);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5086/;
M470;Sentenciado;;CCTT;;;;;;López García, José (id 494, ya en BD);(CT)Ntro.Padre Jesús Nazareno (Alhaurín de la Torre) (banda nueva, pendiente de alta - ref B26);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5086/;
M471;En tu memoria;;CCTT;;;;;;Fargas Gavira, Alejandro (id 736, ya en BD);(CT)Ntro.Padre Jesús Nazareno (Alhaurín de la Torre) (banda nueva, pendiente de alta - ref B26);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5086/;
M472;X años de pasión;;CCTT;;;;;215;Fortis Pérez, José Ignacio (id 649, ya en BD);(CT)Ntro.Padre Jesús Nazareno (Alhaurín de la Torre) (banda nueva, pendiente de alta - ref B26);;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5086/;
M475;Ansiosa de verte;;AM;;;;Santa Teresa de Jesús;208;Vederti Danzare, Voglio (autor nuevo, sin alta todavía);"(AM)Santo Tomás de Villanueva (Ciudad Real) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5107/;
M477;Jesús en su flagelación;;CCTT;;La Linea de la Concepción;;Hdad.de la Flagelación;175;Moreno Rodríguez, Alejandro (id 87, ya en BD);"(CT)Ntra.Sra.de los Ángeles (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5126/;
M483;Esperanza en tu oración;;AM;;;;Cofradia de Ntro. Padre Jesús en la Oración en el Huerto de los Olivos y María Stma.de la Esperanza;240;Sánchez Crespillo, José Manuel (id 689, ya en BD);"(AM)Nuestra Señora de las Angustias (Alcalá la Real) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5142/;
M484;La humillación;;AM;;;;Hdad.del Señor de la Humildad y María Stma.de los Dolores;268;Larrinaga Soler, Sergio (id 36, ya en BD);"(AM)Nuestra Señora de las Angustias (Alcalá la Real) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5142/;
M493;Al amanecer;;CCTT;;;;;;López Carrión, Antonio Manuel (id 106, ya en BD);(CT)Sones de Pasión (Cáceres) (banda nueva, pendiente de alta - ref B27);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5156/;
M499;El reino de hins-ashar;;AM;;;;;245;Zambruno Álvarez, José Antonio (id 1113, ya en BD);"(AM)SPQR Los Romanos (Iznájar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;D_mismo_autor_titulo_parecido;https://discografiasdemarchasprocesionales.com/discos/5173/;
M500;El evangelio;;AM;;;;;241;Cebrero Arias, Francisco Javier (id 596, ya en BD);"(AM)SPQR Los Romanos (Iznájar) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5173/;
M503;El amor de tus lágrimas;;AM;;;;;275;Amador Infantes, Manuel (id 29, ya en BD);AM Lágrimas de Dolores (id 69, ya en BD) [origen: (AM)Lágrimas de Dolores (San Fernando)];;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5203/;
M507;La traición;;AM;;;;;;Cebrero Miranda, Ángel Manuel (id 78, ya en BD);"(AM)Sagrada Resurrección (Sanlúcar de Barrameda) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5245/;
M508;La palabra de dios;;AM;;;;;;Fargas Gavira, Alejandro (id 736, ya en BD);"(AM)Sagrada Resurrección (Sanlúcar de Barrameda) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5245/;
M511;Eterno;;AM;;;;;214;Roldán Roldán, Manuel (id 57, ya en BD);(AM)La Santa Cruz (Benameji) (banda nueva, pendiente de alta - ref B29);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5340/;
M514;Santa cruz;;AM;;;;;;Larrinaga Soler, Sergio (id 36, ya en BD);(AM)La Santa Cruz (Benameji) (banda nueva, pendiente de alta - ref B29);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5340/;
M518;¡Venid a mi!;;AM;;El Puerto de Santa María;;Hdad.de la Borriquita;238;Torres Muñoz, Esteban (id 280, ya en BD);"(AM)San Juan (Jerez de la fra) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5355/;
M526;Por ti, cautivo;;AM;;Jerez de la fra;;Hdad.del Amor;236;Ortega León, José Manuel (id 5, ya en BD);"(AM)San Juan (Jerez de la fra) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5355/;
M527;El cristo;;AM;;Jerez de la fra;;Hdad.del Cristo;248;Sánchez Molero, José Manuel (id 76, ya en BD);"(AM)San Juan (Jerez de la fra) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5355/;
M531;Padre nuestro;;AM;;;;;;Jiménez, Carmen (autor nuevo, sin alta todavía);"(AM)María Santísima de la Encarnación (Osuna) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5380/;
M538;Alabado;;AM;;;;;149;Adolf Merkel, Gustav (autor nuevo, sin alta todavía);"(AM)Santa Marta (La Algaba) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5482/;
M545;Luna de esperanza;;CCTT;;;;Virgen de la Luna Patrona de Pozoblanco;225;García Pérez, Ignacio José (id 110, ya en BD);"(CT)Sayones de Ntro.Padre Jesús Nazareno (Pozoblanco) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5526/;
M551;Cristo de la sangre;;AM;;;;;;Mena Hervás, José Manuel (id 38, ya en BD);"(AM)Nuestra Señora de Valme (Dos Hermanas) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5565/;
M555;Stabat mater lacrimosa;;AM;;;;;;Mena Hervás, José Manuel (id 38, ya en BD);"(AM)Nuestra Señora de Valme (Dos Hermanas) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5565/;
M559;Plegaria gitana;;AM;;Jaén;;Cuadrilla de Costaleros de la Hdad.de la Amargura;206;Sánchez Crespillo, José Manuel (id 689, ya en BD);"(AM)Nuestro Padre Jesús Despojado (Jaén) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5629/;
M561;El padre;;AM;;Jaén;;Ntro.Padre Jesús Despojado;259;Sánchez Martín, José María (id 24, ya en BD);"(AM)Nuestro Padre Jesús Despojado (Jaén) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5629/;
M564;En el reino de los cielos;;AM;;;;Todos los Musicos que elevaron sus Almas al Cielo para formar la Divinidad Musical;207;García Pérez, Ignacio José (id 110, ya en BD);(AM)Nuestra Señora de los Remedios (Chiclana de la fra) (banda nueva, pendiente de alta - ref B30);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5653/;
M565;Orando junto a ti;;AM;;;;;;Moreno Rodríguez, Alejandro (id 87, ya en BD);(AM)Nuestra Señora de los Remedios (Chiclana de la fra) (banda nueva, pendiente de alta - ref B30);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5653/;
M566;El profeta;;AM;;Chiclana;;San Juan Bauista;285;Guerrero Marín, Manuel Jesús (id 32, ya en BD);(AM)Nuestra Señora de los Remedios (Chiclana de la fra) (banda nueva, pendiente de alta - ref B30);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5653/;
M568;Renacimiento;;AM;;;;;;Sánchez Crespillo, José Manuel (id 689, ya en BD);(AM)Nuestra Señora de los Remedios (Chiclana de la fra) (banda nueva, pendiente de alta - ref B30);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5653/;
M569;La promesa;;AM;;;;;;Sánchez Crespillo, José Manuel (id 689, ya en BD);(AM)Nuestra Señora de los Remedios (Chiclana de la fra) (banda nueva, pendiente de alta - ref B30);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/5653/;
