ID_BANDA;BANDA;TITULO;ANIO;ESTILO;FUENTE;DISCO;URL;FLAGS;MATCH
37;AM Jesús Despojado;Trilogia;2022;AM;deezer;Al Dios del Amor;https://www.deezer.com/track/2029292577;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;VIRGEN DE LOS TOREROS (Interpretado por la Banda de Música);2022;AM;deezer;Del Salvador al Cielo;https://www.deezer.com/track/2029315217;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Volver a Verte;2024;AM;deezer;Volver a Verte;https://www.deezer.com/track/2724720311;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.824
37;AM Jesús Despojado;X Años De Sentimientos (Comentario);2022;AM;deezer;Rey Moreno de los Cielos;https://www.deezer.com/track/2036108347;sin_autor_detectado,banda_estreno_sin_verificar;
37;AM Jesús Despojado;Y la tierra tembló;2022;AM;apple;Y la tierra tembló - Single;https://music.apple.com/es/album/y-la-tierra-tembl%C3%B3/1656255431?i=1656255432&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Comentario 1;2023;AM;deezer;Hágase Tu Voluntad;https://www.deezer.com/track/2486439551;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Comentario 2;2023;AM;deezer;Hágase Tu Voluntad;https://www.deezer.com/track/2486439571;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Comentario 3;2023;AM;deezer;Hágase Tu Voluntad;https://www.deezer.com/track/2486439621;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Comentario 4;2023;AM;deezer;Andando y con Sentimiento;https://www.deezer.com/track/2618166812;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Comentario 5;2023;AM;deezer;Hágase Tu Voluntad;https://www.deezer.com/track/2486439671;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Comentario 6;2023;AM;deezer;Hágase Tu Voluntad;https://www.deezer.com/track/2486439691;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Cometario 4;2023;AM;deezer;Hágase Tu Voluntad;https://www.deezer.com/track/2486439651;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Contemplá Su Cara;2023;AM;deezer;Al Alba;https://www.deezer.com/track/2484019821;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Enmanuel;2024;AM;deezer;Señor de la Madrugá;https://www.deezer.com/track/2709882032;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Hágase Tu Voluntad (Plegaria al Señor de la Salud);1998;AM;apple;Hágase Tu Voluntad;https://music.apple.com/es/album/h%C3%A1gase-tu-voluntad-plegaria-al-se%C3%B1or-de-la-salud/1710721787?i=1710723751&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Opre, Madre de los Gitanos;2023;AM;apple;Opre, Madre de los Gitanos (En vivo) - Single;https://music.apple.com/es/album/opre-madre-de-los-gitanos-en-vivo/1750726178?i=1750726179&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.791
26;AM La Salud;Paso de Palio de María Santísima de las Angustias ante el Convento de Sor Angela de la Cruz: Madre de los Gitanos Coronada;2023;AM;deezer;Andando y con Sentimiento;https://www.deezer.com/track/2618166772;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Plegaria al Cristo de la Corona;2023;AM;deezer;Al Alba;https://www.deezer.com/track/2484019841;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Plegaria al Cristo de la Corona (Motete para Quinteto de Viento);2004;AM;apple;Al Alba;https://music.apple.com/es/album/plegaria-al-cristo-de-la-corona-motete-para-quinteto/1710412285?i=1710413364&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Plegaria Gitana (Motete para Quinteto de Viento);2004;AM;apple;Al Alba;https://music.apple.com/es/album/plegaria-gitana-motete-para-quinteto-de-viento/1710412285?i=1710412888&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Regreso a San Román;2024;AM;deezer;Señor de la Madrugá;https://www.deezer.com/track/2709882052;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Siempre serás nuestro eterno ¡¡Buenos días!!;2021;AM;deezer;Qué grande ser de Ti;https://www.deezer.com/track/1664193932;sin_autor_detectado,banda_estreno_sin_verificar;
26;AM La Salud;Zambra del ruego;2021;AM;deezer;Qué grande ser de Ti;https://www.deezer.com/track/1664193952;sin_autor_detectado,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;Bajo tu Mirada (Piano);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/bajo-tu-mirada-piano/1778293942?i=1778293944&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.824
69;AM Lágrimas de Dolores;El Salvador del Mundo (Orquestación);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/el-salvador-del-mundo-orquestaci%C3%B3n/1778293942?i=1778293950&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.764
69;AM Lágrimas de Dolores;En Ti Creemos;2022;AM;deezer;En Ti Creemos;https://www.deezer.com/track/1693762617;sin_autor_detectado,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;La Esperanza (Orquestación);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/la-esperanza-orquestaci%C3%B3n/1778293942?i=1778293945&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;La Profecía del Padre (Orquestación);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/la-profec%C3%ADa-del-padre-orquestaci%C3%B3n/1778293942?i=1778293947&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.764
69;AM Lágrimas de Dolores;Lacrimas (Orquestación);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/lacrimas-orquestaci%C3%B3n/1778293942?i=1778293948&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;"Popurrí ""Magna Mariana""";2024;AM;deezer;Nuestra Música: Desde la Orquestación, Vol. 1;https://www.deezer.com/track/3077959841;sin_autor_detectado,posible_popurri,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;"Popurrí ""Magna Mariana"" (Orquestación)";2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/popurr%C3%AD-magna-mariana-orquestaci%C3%B3n/1778293942?i=1778293951&uo=4;sin_autor_detectado,posible_popurri,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;Presentación de Jesús al Barrio (Orquestación);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/presentaci%C3%B3n-de-jes%C3%BAs-al-barrio-orquestaci%C3%B3n/1778293942?i=1778293946&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.827
69;AM Lágrimas de Dolores;Tierra Santa (Orquestación);2024;AM;apple;Nuestra Música: Desde la Orquestación, Vol. 1;https://music.apple.com/es/album/tierra-santa-orquestaci%C3%B3n/1778293942?i=1778293949&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
69;AM Lágrimas de Dolores;Tu Eres Mi Dios;2021;AM;deezer;Tu Eres Mi Dios;https://www.deezer.com/track/3621912622;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.812
105;AM María Inmaculada;Procesión Dolorosa de la Calle Real;2012;AM;apple;Gran Poder. La Auténtica Semana Santa en Sevilla.;https://music.apple.com/es/album/procesi%C3%B3n-dolorosa-de-la-calle-real/506968836?i=506969119&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.833
3;AM Misericordia;Comentario;2009;AM;apple;Misericordia en Tu Esperanza;https://music.apple.com/es/album/comentario/303005456?i=303005461&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
3;AM Misericordia;Himno Cofrade;2009;AM;apple;Misericordia en Tu Esperanza;https://music.apple.com/es/album/himno-cofrade/303005456?i=303005476&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.75
48;AM Pasión;Al Que Yo Bese;2025;AM;deezer;La Pasión Según La Pasión;https://www.deezer.com/track/3273365411;sin_autor_detectado,banda_estreno_sin_verificar;
48;AM Pasión;Al Señor del Prendimiento;2025;AM;deezer;La Pasión Según La Pasión;https://www.deezer.com/track/3273365421;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.816
48;AM Pasión;Cirineo para Ti;2025;AM;deezer;Lágrimas de Pasión;https://www.deezer.com/track/3270860361;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.833
48;AM Pasión;La Pasión del Nazareno;2025;AM;deezer;La Pasión del Nazareno (Directo);https://www.deezer.com/track/3435760081;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.818
48;AM Pasión;O FORTUNA;2023;AM;deezer;O FORTUNA (Directo);https://www.deezer.com/track/2544939691;sin_autor_detectado,banda_estreno_sin_verificar;
48;AM Pasión;O Salutaris;2025;AM;deezer;En Tu Pasión;https://www.deezer.com/track/3270859971;sin_autor_detectado,banda_estreno_sin_verificar;
48;AM Pasión;Raphael;2024;AM;deezer;Raphael (Directo);https://www.deezer.com/track/2687966252;sin_autor_detectado,banda_estreno_sin_verificar;
48;AM Pasión;Resurreción;2025;AM;deezer;Lágrimas de Pasión;https://www.deezer.com/track/3270860401;sin_autor_detectado,banda_estreno_sin_verificar;
9;AM Paz y Caridad;Al Cielo el Rey de Santiago;2018;AM;apple;Esperanza en ti;https://music.apple.com/es/album/al-cielo-el-rey-de-santiago/1642006702?i=1642006705&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.776
9;AM Paz y Caridad;Andalucía;2018;AM;apple;Esperanza en ti;https://music.apple.com/es/album/andaluc%C3%ADa/1642006702?i=1642006712&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.75
9;AM Paz y Caridad;Añoranzas;2018;AM;apple;Esperanza en ti;https://music.apple.com/es/album/a%C3%B1oranzas/1642006702?i=1642006715&uo=4;sin_autor_detectado,banda_estreno_sin_verificar;
9;AM Paz y Caridad;Costalero del Santo Cristo;2018;AM;apple;Esperanza en ti;https://music.apple.com/es/album/costalero-del-santo-cristo/1642006702?i=1642006704&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.8
9;AM Paz y Caridad;Costaleros de Gloria;2018;AM;apple;Esperanza en ti;https://music.apple.com/es/album/costaleros-de-gloria/1642006702?i=1642006710&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.889
9;AM Paz y Caridad;Esperanza de Triana Coronada;2021;AM;deezer;Música para la Esperanza;https://www.deezer.com/track/1498577262;sin_autor_detectado,banda_estreno_sin_verificar;
9;AM Paz y Caridad;Esperanza de Vida;2021;AM;deezer;Música para la Esperanza;https://www.deezer.com/track/1498577212;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.85
9;AM Paz y Caridad;Esperanza en ti;2018;AM;apple;Esperanza en ti;https://music.apple.com/es/album/esperanza-en-ti/1642006702?i=1642006703&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.811
9;AM Paz y Caridad;La Esperanza de Triana;2021;AM;deezer;Música para la Esperanza;https://www.deezer.com/track/1498577232;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.884
9;AM Paz y Caridad;La Misión;2021;AM;deezer;Música para la Esperanza;https://www.deezer.com/track/1498577162;sin_autor_detectado,banda_estreno_sin_verificar;
9;AM Paz y Caridad;María Esperanza Nuestra;2021;AM;deezer;Música para la Esperanza;https://www.deezer.com/track/1498577302;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.875
9;AM Paz y Caridad;Siempre entre Nosotros;2026;AM;deezer;Siempre entre Nosotros;https://www.deezer.com/track/3886066531;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.857
9;AM Paz y Caridad;Siempre la Esperanza;2021;AM;deezer;Música para la Esperanza;https://www.deezer.com/track/1498577282;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.773
25;AM Polillas;Caleta;2024;AM;deezer;Caleta | (Directo);https://www.deezer.com/track/2896582071;sin_autor_detectado,banda_estreno_sin_verificar;
25;AM Polillas;Llegó El Domingo De Ramos;2004;AM;deezer;Mater;https://www.deezer.com/track/2877690752;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.78
25;AM Polillas;Pater Orantes;2024;AM;deezer;Pater Orantes | (Directo);https://www.deezer.com/track/2929100431;sin_autor_detectado,banda_estreno_sin_verificar;
25;AM Polillas;Por Tu Pueblo, Despojado;2022;AM;deezer;Grabaciones En Directo;https://www.deezer.com/track/2877654612;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.769
25;AM Polillas;Quién como Dios;2024;AM;deezer;Quién como Dios;https://www.deezer.com/track/3106121421;sin_autor_detectado,banda_estreno_sin_verificar;
25;AM Polillas;Sentimientos De Plata;2022;AM;deezer;Sentimientos De Plata;https://www.deezer.com/track/2877667892;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.837
25;AM Polillas;Suena Cádiz;2024;AM;deezer;Suena Cádiz;https://www.deezer.com/track/3080487881;sin_autor_detectado,banda_estreno_sin_verificar;
